Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[4], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[4], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[3], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[2], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[1], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[0], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regC_reg[3], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regC_reg[2], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regC_reg[1], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regC_reg[0], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regA_reg[3], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regA_reg[2], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regA_reg[1], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/E1_regA_reg[0], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/control_fsm0/current_stateC_reg[2], TimeControl/freqTrim/control_fsm0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/control_fsm0/current_stateC_reg[1], TimeControl/freqTrim/control_fsm0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/control_fsm0/current_stateC_reg[0], TimeControl/freqTrim/control_fsm0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/control_fsm0/current_stateA_reg[2], TimeControl/freqTrim/control_fsm0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/control_fsm0/current_stateA_reg[1], TimeControl/freqTrim/control_fsm0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/control_fsm0/current_stateA_reg[0], TimeControl/freqTrim/control_fsm0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iC_reg[3], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iC_reg[2], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iC_reg[1], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iC_reg[0], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iA_reg[3], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iA_reg[2], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iA_reg[1], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/Counter_C_iA_reg[0], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountC_reg[3], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountC_reg[2], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountC_reg[1], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountC_reg[0], TimeControl/freqTrim/clk_counter0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountA_reg[3], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountA_reg[2], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountA_reg[1], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/clk_counter0/CountA_reg[0], TimeControl/freqTrim/clk_counter0/clockA_IBUF_BUFG
Clock Issue: TimeControl/flipflop/buffC_reg, TimeControl/flipflop/clockC_IBUF_BUFG
Clock Issue: TimeControl/flipflop/buffA_reg, TimeControl/flipflop/clockA_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iC_reg[3], TimeControl/counter/clockC_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iC_reg[2], TimeControl/counter/clockC_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iC_reg[1], TimeControl/counter/clockC_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iC_reg[0], TimeControl/counter/clockC_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iA_reg[3], TimeControl/counter/clockA_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iA_reg[2], TimeControl/counter/clockA_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iA_reg[1], TimeControl/counter/clockA_IBUF_BUFG
Clock Issue: TimeControl/counter/counto_iA_reg[0], TimeControl/counter/clockA_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateC_reg[3], TimeControl/bittiming/clockC_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateC_reg[2], TimeControl/bittiming/clockC_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateC_reg[1], TimeControl/bittiming/clockC_IBUF_BUFG
